,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
13969,2006,PA,18,DEM,105419,PA18_2006,CHAD KLUKO,H6PA18201,CHAD KLUKO,1.0
13970,1990,TX,1,DEM,89241,TX1_1990,JIM CHAPMAN,H6TX01055,JIM CHAPMAN,1.0
13971,1978,OH,8,DEM,32493,OH8_1978,LUELLA SCHROEDER,H8OH08014,LUELLA SCHROEDER,1.0
13972,2012,OK,2,DEM,96081,OK2_2012,ROB WALLACE,H2OK02158,ROB WALLACE,1.0
13973,2012,OK,2,REP,143701,OK2_2012,MARKWAYNE MULLIN,H2OK02083,MARKWAYNE MULLIN,1.0
13974,2006,PA,18,REP,144632,PA18_2006,TIM MURPHY,H2PA18143,TIM MURPHY,1.0
13975,1980,NJ,11,REP,57772,NJ11_1980,ROBERT DAVIS,H0NJ11032,ROBERT DAVIS,1.0
13976,1990,TX,2,DEM,76974,TX2_1990,CHARLES WILSON,H6TX02020,CHARLES WILSON,1.0
13977,1984,VA,6,REP,91344,VA6_1984,RAY GARLAND,H2VA06016,RAY GARLAND,1.0
13978,1992,PA,3,REP,86787,PA3_1992,CHARLES DOUGHERTY,H8PA04017,CHARLES DOUGHERTY,1.0
13979,1984,NY,31,REP,152810,NY31_1984,JACK KEMP,H6NY38029,JACK KEMP,1.0
13980,2006,RI,1,REP,41836,RI1_2006,JONATHAN SCOTT,H6RI01096,JONATHAN SCOTT,1.0
13981,2012,OK,1,DEM,91421,OK1_2012,JOHN OLSON,H2OK01150,JOHN OLSON,1.0
13982,2012,OH,16,REP,185165,OH16_2012,JAMES RENACCI,H0OH16097,JAMES RENACCI,1.0
13983,1992,PA,2,DEM,164355,PA2_1992,LUCIEN BLACKWELL,H2PA02089,LUCIEN BLACKWELL,1.0
13984,2006,PA,19,REP,142512,PA19_2006,TODD PLATTS,H0PA19053,TODD PLATTS,1.0
13985,1978,OH,8,REP,81156,OH8_1978,THOMAS KINDNESS,H6OH08059,THOMAS KINDNESS,1.0
13986,2012,OH,15,REP,205274,OH15_2012,STEVE STIVERS,H8OH15076,STEVE STIVERS,1.0
13987,2012,OH,16,DEM,170600,OH16_2012,BETTY SUTTON,H6OH13133,BETTY SUTTON,1.0
13988,1980,NJ,11,DEM,106155,NJ11_1980,JOSEPH MINISH,H6NJ11021,JOSEPH MINISH,1.0
13989,2006,RI,1,DEM,124634,RI1_2006,PATRICK KENNEDY,H4RI01034,PATRICK KENNEDY,1.0
13990,2006,RI,2,DEM,140315,RI2_2006,JAMES LANGEVIN,H0RI02139,JAMES LANGEVIN,1.0
13991,2012,OH,14,LIB,11536,OH14_2012,DAVID MACKO,H8OH14103,DAVID MACKO,1.0
13992,2012,OH,14,REP,183657,OH14_2012,DAVID JOYCE,H2OH14064,DAVID JOYCE,1.0
13993,2012,OH,14,OTHER,13038,OH14_2012,ELAINE MASTROMATTEO,H0OH17186,ELAINE MASTROMATTEO,1.0
13994,1990,TX,2,REP,61555,TX2_1990,DONNA PETERSON,H0TX02049,DONNA PETERSON,1.0
13995,1978,OH,9,DEM,71709,OH9_1978,THOMAS ASHLEY,H6OH09024,THOMAS ASHLEY,1.0
13996,2012,OH,13,REP,88120,OH13_2012,MARISHA AGANA,H2OH13199,MARISHA AGANA,1.0
13997,2012,OH,12,REP,233869,OH12_2012,PATRICK TIBERI,H0OH12062,PATRICK TIBERI,1.0
13998,1984,NY,31,DEM,53513,NY31_1984,PETER MARTINELLI,H4NY31011,PETER MARTINELLI,1.0
13999,2012,OH,11,DEM,258359,OH11_2012,MARCIA FUDGE,H8OH11141,MARCIA FUDGE,1.0
14000,1984,VA,6,DEM,105207,VA6_1984,JAMES OLIN,H2VA06040,JAMES OLIN,1.0
14001,1992,PA,1,DEM,150172,PA1_1992,THOMAS FOGLIETTA,H0PA01218,THOMAS FOGLIETTA,1.0
14002,1992,PA,2,REP,47906,PA2_1992,LARRY HOLLIN,H2PA02105,LARRY HOLLIN,1.0
14003,1978,OH,10,REP,99329,OH10_1978,CLARENCE MILLER,H6OH10030,CLARENCE MILLER,1.0
