,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
330,2024,TX,2,DEM,112252,TX2_2024,PETER FILLER,H4TX02181,PETER FILLER,1.0
331,2024,TX,3,REP,237794,TX3_2024,KEITH SELF,H2TX03290,KEITH SELF,1.0
337,2024,TN,9,DEM,159522,TN9_2024,STEVE COHEN,H6TN09068,STEVE COHEN,1.0
338,2024,TX,1,REP,258523,TX1_2024,NATHANIEL MORAN,H2TX01112,NATHANIEL MORAN,1.0
343,2024,TN,9,REP,57411,TN9_2024,CHARLOTTE BERGMANN,H0TN09061,CHARLOTTE BERGMANN,1.0
344,2024,TN,9,IND,3062,TN9_2024,DENNIS CLARK,H0TN09111,DENNIS CLARK,1.0
345,2024,TN,8,IND,6861,TN8_2024,JAMES HART,H2TN08077,JAMES HART,1.0
346,2024,TN,8,DEM,85043,TN8_2024,SARAH FREEMAN,H4TN08123,SARAH FREEMAN,1.0
350,2024,TN,7,DEM,122764,TN7_2024,MEGAN BARRY,H4TN07133,MEGAN BARRY,1.0
351,2024,TN,8,REP,240411,TN8_2024,DAVID KUSTOFF,H2TN07103,DAVID KUSTOFF,1.0
353,2024,TN,7,REP,191992,TN7_2024,MARK GREEN,H8TN07076,MARK GREEN,1.0
359,2024,TN,6,DEM,106144,TN6_2024,LORE BERGMAN,H4TN06226,LORE BERGMAN,1.0
363,2024,TN,6,REP,225543,TN6_2024,JOHN ROSE,H8TN06094,JOHN ROSE,1.0
369,2024,TN,5,IND,3065,TN5_2024,BOB TITLEY,H4TN05160,BOB TITLEY,1.0
370,2024,TN,4,REP,219133,TN4_2024,SCOTT DESJARLAIS,H0TN04195,SCOTT DESJARLAIS,1.0
371,2024,TN,3,DEM,102841,TN3_2024,JACK ALLEN,H4TN03199,JACK ALLEN,1.0
376,2024,TN,4,DEM,83832,TN4_2024,VICTORIA BRODERICK,H4TN04270,VICTORIA BRODERICK,1.0
377,2024,TN,2,DEM,111316,TN2_2024,JANE GEORGE,H4TN02084,JANE GEORGE,1.0
380,2024,TN,3,REP,236519,TN3_2024,CHARLES FLEISCHMANN,H0TN03254,CHARLES FLEISCHMANN,1.0
381,2024,TN,1,REP,257825,TN1_2024,DIANA HARSHBARGER,H0TN01118,DIANA HARSHBARGER,1.0
384,2024,SD,0,DEM,117818,SD0_2024,SHERYL JOHNSON,H4SD00064,SHERYL JOHNSON,1.0
385,2024,TN,2,REP,250782,TN2_2024,TIM BURCHETT,H8TN02119,TIM BURCHETT,1.0
387,2024,SD,0,REP,303630,SD0_2024,DUSTY JOHNSON,H8SD01055,DUSTY JOHNSON,1.0
390,2024,SC,6,DEM,182056,SC6_2024,JAMES CLYBURN,H2SC02042,JAMES CLYBURN,1.0
